시도,시군구,2020_사고[건],2020_사망[명],2020_부상[명],2021_사고[건],2021_사망[명],2021_부상[명],2022_사고[건],2022_사망[명],2022_부상[명],2023_사고[건],2023_사망[명],2023_부상[명],2024_사고[건],2024_사망[명],2024_부상[명]
충남,합계,1108,22,1832,915,15,1418,897,13,1439,823.0,12.0,1308.0,698,10,1063
충남,천안시,351,2,595,319,3,499,298,3,489,275.0,0.0,423.0,246,4,373
충남,아산시,157,0,265,134,0,222,135,3,211,145.0,1.0,254.0,115,1,174
충남,보령시,57,1,105,39,1,52,28,0,49,44.0,1.0,68.0,26,0,36
충남,공주시,69,1,101,49,0,74,51,0,75,34.0,0.0,48.0,26,1,51
충남,서산시,121,6,187,82,4,118,69,1,122,80.0,5.0,127.0,65,2,99
충남,금산군,13,1,17,10,0,18,9,0,11,15.0,1.0,17.0,10,0,13
충남,태안군,30,2,62,32,0,46,28,1,46,20.0,0.0,32.0,17,0,24
충남,논산시,48,2,73,39,1,68,44,2,73,34.0,0.0,63.0,40,0,58
충남,부여군,16,0,26,13,1,17,25,1,41,24.0,0.0,38.0,13,0,19
충남,서천군,30,2,42,17,2,18,23,1,38,14.0,0.0,26.0,16,0,20
충남,청양군,16,0,24,15,0,24,14,0,21,19.0,2.0,21.0,7,0,9
충남,홍성군,48,0,82,27,1,42,40,0,63,22.0,2.0,35.0,17,0,22
충남,예산군,44,1,68,39,1,59,40,0,64,30.0,0.0,46.0,25,1,37
충남,당진시,103,4,176,93,1,151,83,1,123,66.0,0.0,109.0,67,1,110
충남,계룡시,5,0,9,7,0,10,10,0,13,1.0,0.0,1.0,8,0,18
전북,합계,617,22,1010,523,11,835,476,17,757,436.0,12.0,724.0,371,13,598
전북,전주시,241,10,404,204,4,318,191,5,305,157.0,3.0,267.0,145,4,255
전북,군산시,86,0,172,85,0,134,71,1,111,76.0,0.0,129.0,55,3,87
전북,정읍시,39,0,65,33,0,49,35,0,64,22.0,3.0,50.0,15,0,29
전북,남원시,22,0,29,9,3,10,14,1,24,17.0,0.0,24.0,6,0,8
전북,김제시,33,2,64,22,1,36,20,2,37,19.0,0.0,31.0,16,0,27
전북,완주군,35,0,53,26,0,48,29,2,46,25.0,3.0,49.0,22,1,32
전북,진안군,7,0,7,5,0,9,7,0,11,11.0,0.0,17.0,10,0,14
전북,무주군,8,0,10,9,0,12,8,2,6,7.0,0.0,9.0,7,0,8
전북,장수군,3,1,2,2,0,6,4,0,4,4.0,1.0,9.0,1,0,1
전북,임실군,3,1,4,4,0,6,3,0,3,5.0,0.0,9.0,4,0,6
전북,순창군,14,1,15,14,1,23,7,1,12,11.0,0.0,18.0,15,3,21
전북,고창군,10,1,13,14,0,29,13,1,20,14.0,1.0,19.0,10,2,13
전북,부안군,30,2,33,22,0,34,11,0,13,9.0,0.0,17.0,12,0,16
전북,익산시,86,4,139,74,2,121,63,2,101,59.0,1.0,76.0,53,0,81
전남,합계,871,27,1384,678,19,1007,621,7,956,523.0,10.0,779.0,436,10,670
전남,목포시,143,3,262,96,2,149,86,0,130,70.0,0.0,105.0,55,1,103
전남,여수시,165,3,273,113,0,169,90,0,139,82.0,0.0,126.0,70,1,117
전남,순천시,114,2,199,85,4,134,71,0,128,62.0,1.0,92.0,41,0,64
전남,나주시,55,1,97,48,1,69,41,0,69,45.0,0.0,71.0,39,0,56
전남,광양시,80,1,119,55,2,86,57,3,92,50.0,1.0,81.0,49,0,66
전남,담양군,14,1,16,17,0,27,14,0,20,13.0,0.0,20.0,14,1,15
전남,곡성군,9,0,11,10,0,13,10,0,17,3.0,0.0,3.0,8,0,10
전남,구례군,10,1,13,13,0,17,8,0,11,9.0,0.0,12.0,6,0,8
전남,고흥군,31,1,49,30,1,44,15,0,20,13.0,0.0,20.0,8,1,9
전남,보성군,18,1,22,8,1,10,20,0,32,12.0,1.0,12.0,12,1,19
전남,화순군,24,0,37,20,0,35,22,0,29,17.0,1.0,27.0,11,0,18
전남,장흥군,17,2,15,18,2,24,16,0,17,10.0,0.0,19.0,9,0,12
전남,강진군,20,1,24,14,0,18,15,0,23,17.0,1.0,23.0,15,0,27
전남,해남군,27,2,42,32,4,40,30,0,47,20.0,2.0,24.0,15,1,24
전남,영암군,28,2,45,26,1,35,20,0,34,26.0,0.0,34.0,18,2,23
전남,무안군,37,0,45,20,1,28,28,1,43,16.0,1.0,27.0,12,0,21
전남,함평군,12,0,17,14,0,17,14,1,19,9.0,0.0,17.0,8,1,10
전남,영광군,15,0,26,8,0,13,16,1,20,5.0,0.0,9.0,7,0,10
전남,장성군,18,0,26,13,0,25,21,0,32,16.0,0.0,23.0,9,0,17
전남,완도군,15,1,18,17,0,27,13,1,17,11.0,1.0,14.0,19,1,27
전남,진도군,7,0,12,7,0,7,7,0,7,10.0,1.0,12.0,5,0,5
전남,신안군,12,5,16,14,0,20,7,0,10,7.0,0.0,8.0,6,0,9
경북,합계,1072,20,1617,899,22,1329,841,20,1298,694.0,15.0,1046.0,608,9,873
경북,포항시,175,1,270,163,5,257,150,2,234,104.0,1.0,173.0,102,0,165
경북,경주시,106,1,161,92,1,143,61,3,88,76.0,0.0,121.0,54,0,82
경북,김천시,49,0,63,44,0,66,35,0,62,22.0,0.0,30.0,22,0,32
경북,안동시,68,1,101,36,0,61,63,0,107,33.0,1.0,43.0,39,1,58
경북,구미시,179,1,289,145,1,215,160,4,256,125.0,1.0,193.0,105,2,141
경북,영주시,29,0,39,35,1,48,17,0,26,16.0,0.0,23.0,10,2,12
경북,영천시,56,2,92,43,0,75,26,0,44,33.0,0.0,50.0,25,0,37
경북,문경시,26,1,42,18,0,24,16,0,20,19.0,1.0,24.0,12,1,17
경북,상주시,43,5,57,20,0,23,22,0,32,21.0,0.0,33.0,22,0,28
경북,군위군,6,0,9,7,0,9,5,1,5,2.0,0.0,2.0,-,-,-
경북,의성군,10,1,12,20,2,28,15,0,18,16.0,0.0,18.0,6,0,10
경북,청송군,2,0,3,5,0,6,7,0,12,10.0,1.0,17.0,9,0,9
경북,영양군,10,0,10,7,0,12,3,0,3,9.0,1.0,12.0,10,0,10
경북,영덕군,13,3,25,26,1,33,21,1,31,18.0,1.0,25.0,10,0,11
경북,청도군,15,0,23,13,0,20,12,0,16,14.0,0.0,23.0,15,1,21
경북,고령군,12,0,17,13,1,15,15,0,20,6.0,0.0,7.0,7,1,9
경북,성주군,26,1,40,26,3,34,35,3,42,20.0,0.0,25.0,13,0,14
경북,칠곡군,104,1,138,56,2,75,51,1,79,40.0,3.0,56.0,44,0,57
경북,예천군,13,1,17,11,0,12,8,0,10,7.0,0.0,7.0,8,1,10
경북,봉화군,11,0,17,7,2,8,8,0,10,10.0,1.0,14.0,5,0,6
경북,울진군,11,1,14,17,1,22,14,2,33,14.0,1.0,21.0,10,0,11
경북,울릉군,-,-,-,1,0,1,2,0,4,2.0,0.0,2.0,-,-,-
경북,경산시,108,0,178,94,2,142,95,3,146,77.0,3.0,127.0,80,0,133
경남,합계,1023,36,1545,883,14,1368,859,13,1284,784.0,14.0,1141.0,692,13,981
경남,진주시,95,1,153,64,1,102,49,0,67,57.0,5.0,86.0,53,0,69
경남,통영시,57,1,84,49,0,79,51,1,84,40.0,0.0,65.0,41,2,64
경남,김해시,173,3,261,154,3,224,167,0,270,149.0,2.0,219.0,128,2,186
경남,밀양시,41,1,63,35,0,51,25,0,32,35.0,0.0,49.0,34,2,51
경남,거제시,67,2,98,64,1,95,68,0,98,63.0,2.0,83.0,74,1,102
경남,의령군,3,0,4,6,0,12,11,0,13,13.0,0.0,17.0,3,0,3
경남,함안군,25,2,36,16,1,32,23,0,37,20.0,1.0,23.0,13,0,19
경남,창녕군,36,1,51,40,0,61,17,0,23,20.0,0.0,27.0,19,2,20
경남,양산시,92,3,136,88,0,143,86,0,122,75.0,3.0,111.0,59,1,82
경남,고성군,26,3,38,21,0,32,13,0,16,16.0,0.0,23.0,7,0,9
경남,사천시,56,3,86,45,0,67,52,0,84,34.0,0.0,51.0,24,0,31
경남,남해군,14,0,24,11,1,14,14,0,23,12.0,0.0,16.0,7,0,8
경남,하동군,9,1,18,8,0,11,8,1,14,7.0,0.0,17.0,8,0,13
경남,산청군,13,0,23,12,0,24,13,1,21,15.0,0.0,22.0,12,1,20
경남,함양군,13,0,16,13,0,19,11,1,17,13.0,0.0,16.0,8,1,10
경남,거창군,30,7,35,21,1,32,22,0,27,18.0,0.0,20.0,21,0,23
경남,합천군,20,0,30,10,0,11,12,0,21,10.0,0.0,13.0,6,0,6
경남,창원시(통합),253,8,389,226,6,359,217,9,315,187.0,1.0,283.0,175,1,265
제주,합계,362,5,562,324,7,502,320,7,498,304.0,2.0,476.0,225,4,351
제주,제주시,255,4,390,230,5,355,211,6,335,205.0,0.0,335.0,159,2,260
제주,서귀포시,107,1,172,94,2,147,109,1,163,99.0,2.0,141.0,66,2,91
